id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
"2019-383732";"2019-12-19";"1";"Vente terrain à bâtir";"165000.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0123";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"625.0";"None";"None";"000BI"
"2019-383715";"2019-12-18";"1";"Vente terrain à bâtir";"160000.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0117";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"616.0";"None";"None";"000BI"
"2019-383949";"2019-12-17";"1";"Vente terrain à bâtir";"169000.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0122";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"607.0";"None";"None";"000BI"
"2019-383656";"2019-12-06";"1";"Vente";"349800.0";"45.0";"None";"RUE MARCEL HERVE";"1533";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0109";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"99.0";"4.0";"S";"sols";"None";"None";"610.0";"None";"None";"000BI"
"2019-382059";"2019-10-29";"1";"Vente";"390000.0";"51.0";"None";"RUE MARCEL HERVE";"1533";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0112";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"95.0";"4.0";"S";"sols";"None";"None";"608.0";"None";"None";"000BI"
"2019-381974";"2019-10-28";"1";"Vente terrain à bâtir";"1120.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0194";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"7.0";"None";"None";"000BI"
"2019-381803";"2019-10-04";"1";"Vente";"358850.0";"34.0";"None";"RUE JEAN XAMBILLY";"1512";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0169";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"86.0";"3.0";"S";"sols";"None";"None";"310.0";"None";"None";"000BI"
"2019-381041";"2019-09-05";"1";"Vente";"345000.0";"1.0";"None";"RUE JEAN XAMBILLY";"1512";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0149";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"100.0";"4.0";"S";"sols";"None";"None";"604.0";"None";"None";"000BI"
"2019-380291";"2019-08-14";"1";"Vente";"369000.0";"40.0";"None";"RUE BOIS LALANDE";"0161";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0072";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1";"Maison";"109.0";"4.0";"AB";"Terrain à bâtir";"None";"None";"730.0";"None";"None";"000BI"
"2019-380135";"2019-08-08";"1";"Vente terrain à bâtir";"178000.0";"nan";"None";"AV MAL DE LATTRE DE TASSIGNY";"0950";"33140";"33550";"Villenave-d'Ornon";"33";"None";"None";"33550000BI0119";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"None";"None";"nan";"nan";"AB";"Terrain à bâtir";"None";"None";"610.0";"None";"None";"000BI"
