brand,model,prices,year,fuel,kms
peugeot,2008 1.6 hdi120 crossway,12100,2017,Diesel,54552
peugeot,5008 1.5 hdi130 active business ba,18390,2018,Diesel,86454
renault,captur 1.5 dci90 business,9100,2018,Diesel,42347
renault,clio.iv 0.9 tce90 intens 5p,11250,2018,Essence,23865
peugeot,5008 1.6 hdi120 active business ba,9900,2018,Diesel,135300
nissan,x-trail 1.6 dci130 tekna ba,14900,2018,Diesel,42857
hyundai,i20 1.2 edition navi,4200,2018,Essence,28145
renault,clio.iv 1.5 dci90 business 5p,6100,2017,Diesel,122991
renault,scenic.iv 1.5 dci110 business ba,7300,2017,Diesel,132860
renault,kadjar 1.6 dci130 intens,9300,2018,Diesel,124450
renault,grand scenic.iv 1.5 dci110 business,8700,2017,Diesel,134521
peugeot,508.sw 1.6 hdi120 active business eat6,6900,2017,Diesel,122768
ford,ecosport 1.0 titanium ,8990,2018,Essence,47774
renault,clio.iv 0.9 tce90 intens 5p,11250,2018,Essence,25040
renault,kadjar 1.5 dci115 intens,13300,2018,Diesel,51490
bmw,216 d active tourer business ba,13400,2017,Diesel,49590
peugeot,308 1.5 hdi100 active 5p,8300,2018,Diesel,88066
nissan,x-trail 1.6 dci130 tekna ba,14300,2018,Diesel,68260
citroen,c4 picasso 1.6 hdi100 business,8300,2017,Diesel,101730
fiat,500 1.2 lounge,6900,2018,Essence,33301
nissan,x-trail 1.6 dci130 tekna ba,15400,2017,Diesel,20578
citroen,c4 picasso 1.6 hdi120 business,6700,2017,Diesel,118767
nissan,leaf 24kwh visia,8300,2016,Electrique,10621
citroen,c5 tourer 2.0 hdi160 exclusive ba,5100,2013,Diesel,129799
renault,kadjar 1.5 dci110 intens  ,12700,2017,Diesel,24107
renault,clio.iv 0.9 tce90 business 5p,7900,2018,Essence,25473
renault,captur 1.5 dci110 intens,8900,2017,Diesel,27272
citroen,grand c4 picasso 2.0 hdi150 business,8900,2016,Diesel,114641
peugeot,308 2.0 hdi180 gt eat6 5p,12600,2015,Diesel,92618
peugeot,ion electrique active,5500,2015,Electrique,40305
renault,kadjar 1.6 dci130 black edition,12400,2017,Diesel,54715
peugeot,2008 1.2 puretech 82 style,8400,2017,Essence,57954
peugeot,508.sw 2.0 hdi180 feline eat6,8800,2016,Diesel,119881
nissan,x-trail 1.6 dci130 tekna ba,15100,2017,Diesel,33337
renault,twingo 0.9 tce90 intens,8490,2018,Essence,36092
renault,kadjar 1.6 dci130 black edition,12900,2017,Diesel,38901
peugeot,308.sw 1.6 hdi120 active business,7700,2016,Diesel,76006
nissan,x-trail 1.6 dci130 tekna,13300,2017,Diesel,34981
renault,scenic.iv 1.5 dci95 life,6800,2017,Diesel,119231
peugeot,508.sw 2.0 hdi150 active business,6900,2015,GH,159854
renault,clio.iv 0.9 tce90 business 5p,7600,2018,Essence,31493
nissan,x-trail 1.6 dci130 tekna ba,14900,2017,Diesel,41016
volkswagen,passat.sw 1.6 tdi120 confortline business,8900,2017,Diesel,105879
renault,kadjar 1.6 dci130 intens,12900,2017,Diesel,47861
fiat,500 1.2 lounge,6900,2018,Essence,46801
nissan,x-trail 1.6 dci130 tekna,13700,2017,Diesel,45846
audi,a6 quattro 3.0 tdi ambition luxe stro.,12700,2011,Diesel,146943
land rover,range rover velar 2.0 d 240 r-dynamic se ba,37900,2017,Diesel,49338
renault,grand scenic.iv 1.5 dci110 business ba,9090,2017,Diesel,125848
renault,clio.iv 0.9 tce90 intens 5p,10850,2018,Essence,32298
nissan,x-trail 1.6 dci130 tekna,13300,2017,Diesel,48734
bmw,216 d active tourer business ba,12600,2017,Diesel,73886
citroen,c4 picasso 1.6 hdi120 feel edition eat6,8900,2015,Diesel,118633
bmw,116 d edition lounge 5p,6900,2013,Diesel,98588
peugeot,208 1.2 vti style 5p,6300,2014,Essence,61010
nissan,qashqai 1.6 dci130 n-connecta ,12900,2017,Diesel,70541
peugeot,2008 1.6 hdi100 style,9400,2017,Diesel,76044
peugeot,308 1.6 hdi100 active business 5p,7700,2016,Diesel,87137
volkswagen,polo 1.4 tdi75 trendline 5p,4350,2015,Diesel,93132
land rover,evoque 2.2 td4 pure,14200,2015,Diesel,86696
peugeot,308.sw 1.6 hdi120 active business ba,7700,2018,Diesel,105870
peugeot,2008 1.2 puretech 82 style,7700,2016,Essence,66461
